Resting membrane potential = -87.94122 mV
Maximum dV/dt (UpstrokeVelocity_max) = 458.94179 mV/ms
Overshoot = 44.85398 mV
Amplitude = 132.79520 mV
APD20 = 170.10000 ms
APD25 = 209.06000 ms
APD50 = 334.44000 ms
APD75 = 421.94000 ms
APD80 = 432.74000 ms
APD90 = 447.92000 ms
